gamma,decay_rate,train_hands,avg_reward,win_rate,avg_loss,avg_win,eval_hands
0.7,0.999,10000,1.322,0.91,-5.9524,2.0022,500
0.7,0.999,100000,1.637,0.94,-6.12,2.067,500
0.7,0.999,1000000,1.283,0.918,-5.5526,1.8573,500
0.7,0.9999,10000,1.273,0.91,-5.619,1.9176,500
0.7,0.9999,100000,1.632,0.922,-6.2727,2.2191,500
0.7,0.9999,1000000,1.239,0.902,-5.7273,1.9324,500
0.7,0.99999,10000,1.348,0.92,-4.6316,1.8478,500
0.7,0.99999,100000,1.358,0.922,-6.0526,1.9718,500
0.7,0.99999,1000000,1.383,0.918,-5.5263,1.9641,500
0.7,0.999995,10000,1.16,0.882,-4.1887,1.8186,500
0.7,0.999995,100000,1.503,0.924,-5.8571,2.0703,500
0.7,0.999995,1000000,1.161,0.906,-6.4651,1.8951,500
0.8,0.999,10000,1.283,0.926,-5.9688,1.7981,500
0.8,0.999,100000,1.471,0.91,-5.2381,2.1,500
0.8,0.999,1000000,1.492,0.938,-5.6429,1.9275,500
0.8,0.9999,10000,1.652,0.932,-5.5,2.1502,500
0.8,0.9999,100000,1.564,0.936,-6.4643,2.0577,500
0.8,0.9999,1000000,1.368,0.93,-6.0,1.9097,500
0.8,0.99999,10000,1.562,0.928,-4.7,1.9871,500
0.8,0.99999,100000,1.353,0.94,-6.037,1.7862,500
0.8,0.99999,1000000,1.379,0.932,-6.0909,1.9109,500
0.8,0.999995,10000,1.165,0.902,-4.5366,1.704,500
0.8,0.999995,100000,1.389,0.926,-5.6216,1.9492,500
0.8,0.999995,1000000,1.539,0.94,-6.4074,2.0053,500
0.9,0.999,10000,1.238,0.916,-5.05,1.7926,500
0.9,0.999,100000,1.316,0.92,-5.5135,1.8739,500
0.9,0.999,1000000,1.465,0.912,-5.6429,2.1261,500
0.9,0.9999,10000,1.516,0.928,-6.3226,2.056,500
0.9,0.9999,100000,1.497,0.92,-6.8333,2.162,500
0.9,0.9999,1000000,1.334,0.926,-6.4,1.9244,500
0.9,0.99999,10000,1.371,0.908,-5.475,1.9923,500
0.9,0.99999,100000,1.494,0.928,-6.9706,2.1207,500
0.9,0.99999,1000000,1.293,0.916,-6.1,1.9443,500
0.9,0.999995,10000,1.275,0.896,-4.82,1.9609,500
0.9,0.999995,100000,1.302,0.918,-5.9722,1.8867,500
0.9,0.999995,1000000,1.261,0.914,-5.9474,1.8742,500
0.95,0.999,10000,1.437,0.932,-5.9677,1.9388,500
0.95,0.999,100000,1.5,0.938,-5.6774,1.9744,500
0.95,0.999,1000000,1.554,0.94,-7.1667,2.0649,500
0.95,0.9999,10000,1.404,0.918,-5.2973,1.9564,500
0.95,0.9999,100000,1.324,0.934,-5.0667,1.743,500
0.95,0.9999,1000000,1.37,0.936,-6.4333,1.8761,500
0.95,0.99999,10000,1.211,0.902,-5.0238,1.8104,500
0.95,0.99999,100000,1.39,0.924,-5.1714,1.8961,500
0.95,0.99999,1000000,1.691,0.93,-5.6129,2.1925,500
0.95,0.999995,10000,1.284,0.912,-4.425,1.7961,500
0.95,0.999995,100000,1.408,0.914,-5.4359,2.0044,500
0.95,0.999995,1000000,1.365,0.912,-5.625,1.9901,500
