hand,avg_reward,win_rate
500,-0.585,0.028
1000,-0.562,0.056
1500,-0.495,0.076
2000,-0.102,0.16
2500,-0.311,0.144
3000,-0.652,0.124
3500,-0.063,0.22
4000,-0.222,0.206
4500,-0.277,0.236
5000,-0.333,0.216
5500,-0.394,0.216
6000,0.415,0.26
6500,0.511,0.288
7000,0.666,0.274
7500,0.71,0.28
8000,0.562,0.292
8500,0.758,0.294
9000,0.722,0.3
9500,0.594,0.314
10000,0.514,0.28
10500,0.762,0.308
11000,1.018,0.306
11500,0.742,0.312
12000,0.648,0.308
12500,0.498,0.298
13000,0.458,0.266
13500,0.59,0.29
14000,0.394,0.274
14500,0.42,0.258
15000,0.32,0.268
15500,0.098,0.248
16000,0.598,0.288
16500,0.644,0.268
17000,0.62,0.294
17500,0.58,0.282
18000,0.578,0.286
18500,0.832,0.29
19000,0.618,0.29
19500,0.498,0.286
20000,0.932,0.292
20500,0.814,0.298
21000,0.362,0.272
21500,0.306,0.272
22000,0.518,0.282
22500,0.61,0.278
23000,0.656,0.3
23500,0.544,0.27
24000,0.566,0.274
24500,0.6,0.294
25000,0.824,0.29
